Amp                      Mask
1.412199826039396555e+02 0.000000000000000000e+00
1.447844270629356913e+02 0.000000000000000000e+00
1.460272591222737049e+02 0.000000000000000000e+00
1.443982569758186969e+02 0.000000000000000000e+00
1.424214703131534066e+02 0.000000000000000000e+00
1.496251459423538108e+02 0.000000000000000000e+00
1.552445614477520621e+02 0.000000000000000000e+00
1.472813024644145514e+02 0.000000000000000000e+00
1.515032675880782449e+02 0.000000000000000000e+00
1.452675189231066213e+02 0.000000000000000000e+00
1.442805275135757199e+02 0.000000000000000000e+00
1.498492872567244092e+02 0.000000000000000000e+00
1.481125181716094232e+02 0.000000000000000000e+00
1.484867803112127262e+02 0.000000000000000000e+00
1.473091417754502288e+02 0.000000000000000000e+00
1.463064994140357555e+02 0.000000000000000000e+00
1.445109251716438052e+02 0.000000000000000000e+00
1.329296276458930777e+02 0.000000000000000000e+00
1.269611586797927458e+02 0.000000000000000000e+00
1.423364674531063372e+02 0.000000000000000000e+00
1.331217011071964009e+02 0.000000000000000000e+00
1.338796650022929668e+02 0.000000000000000000e+00
1.385391166338709468e+02 0.000000000000000000e+00
1.380836041311457905e+02 0.000000000000000000e+00
1.290527092061355745e+02 0.000000000000000000e+00
1.326577961678397060e+02 0.000000000000000000e+00
1.392107459318814051e+02 0.000000000000000000e+00
1.271836725701440258e+02 0.000000000000000000e+00
1.430239716504276259e+02 0.000000000000000000e+00
1.428066022225543463e+02 0.000000000000000000e+00
1.595791243370240409e+02 0.000000000000000000e+00
1.661193107343925703e+02 0.000000000000000000e+00
1.567206290509738835e+02 0.000000000000000000e+00
1.562914381449339203e+02 0.000000000000000000e+00
1.574325800695075941e+02 0.000000000000000000e+00
1.667552273735947495e+02 0.000000000000000000e+00
1.893274611659830953e+02 0.000000000000000000e+00
2.480660979344471002e+02 0.000000000000000000e+00
5.421072780746434319e+02 0.000000000000000000e+00
1.582381146083131625e+03 0.000000000000000000e+00
2.477561072919699654e+03 0.000000000000000000e+00
2.162149747617379944e+03 0.000000000000000000e+00
1.198946338215570449e+03 0.000000000000000000e+00
4.857286395495186753e+02 0.000000000000000000e+00
2.310278266558312339e+02 0.000000000000000000e+00
1.702045374873334822e+02 0.000000000000000000e+00
1.567631077589577444e+02 0.000000000000000000e+00
1.528417053952542517e+02 0.000000000000000000e+00
1.522334043379009927e+02 0.000000000000000000e+00
1.506786038024951324e+02 0.000000000000000000e+00
1.531682596953992856e+02 0.000000000000000000e+00
1.662634007454648781e+02 0.000000000000000000e+00
1.551336067634516098e+02 0.000000000000000000e+00
1.527002156838729263e+02 0.000000000000000000e+00
1.452691292715383042e+02 0.000000000000000000e+00
1.370390049329840281e+02 0.000000000000000000e+00
1.316316504012956159e+02 0.000000000000000000e+00
1.430119010205626751e+02 0.000000000000000000e+00
1.520158248740727345e+02 0.000000000000000000e+00
1.455635766574061165e+02 0.000000000000000000e+00
1.467835726258052489e+02 0.000000000000000000e+00
1.419709641947452496e+02 0.000000000000000000e+00
1.563490465337517605e+02 0.000000000000000000e+00
1.403301997620746704e+02 0.000000000000000000e+00
1.464910133268005268e+02 0.000000000000000000e+00
1.475238624045072413e+02 0.000000000000000000e+00
1.527235866300271425e+02 0.000000000000000000e+00
1.472792635881878311e+02 0.000000000000000000e+00
1.447526626982269988e+02 0.000000000000000000e+00
1.405567556715967896e+02 0.000000000000000000e+00
1.408162599485497992e+02 0.000000000000000000e+00
1.414135881275469444e+02 0.000000000000000000e+00
1.500036703388933006e+02 0.000000000000000000e+00
1.459466804923645782e+02 0.000000000000000000e+00
1.513898428809766017e+02 0.000000000000000000e+00
1.455940250514333059e+02 0.000000000000000000e+00
1.543715653885676318e+02 0.000000000000000000e+00
1.579435154960297609e+02 0.000000000000000000e+00
1.554024346728246826e+02 0.000000000000000000e+00
1.418115862394052726e+02 0.000000000000000000e+00
1.432534641354079668e+02 0.000000000000000000e+00
1.392842346754891878e+02 0.000000000000000000e+00
1.444921535765144824e+02 0.000000000000000000e+00
